PerformanceID,EmployeeID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating,WorkLifeBalanceLabel,,,,,,,,,,,,,,
PR252,4500-37EB,17/03/2014,3,2,2,3,0,3,4,3,Good,,,,,,,,,,,,,,
PR2543,1D35-190A,11/9/2018,3,2,5,1,0,3,3,3,Good,,,,,,,,,,,,,,
PR2573,2C7D-F9F1,1/10/2018,3,2,5,1,1,3,4,4,Good,,,,,,,,,,,,,,
PR2576,825E-0B3A,4/10/2018,3,2,5,2,0,3,3,3,Good,,,,,,,,,,,,,,
PR264,6010-A052,26/03/2014,3,2,2,2,1,3,4,3,Good,,,,,,,,,,,,,,
PR2641,D871-1F74,9/11/2018,3,2,5,3,1,3,3,3,Good,,,,,,,,,,,,,,
PR2654,4DA0-81D7,18/11/2018,3,2,3,3,1,3,5,5,Good,,,,,,,,,,,,,,
PR2677,4886-62DF,2/12/2018,3,2,4,2,0,3,4,3,Good,,,,,,,,,,,,,,
PR2702,AF5D-A8C8,19/12/2018,3,2,5,3,2,3,3,2,Good,,,,,,,,,,,,,,
PR2762,CBB3-0D7E,15/01/2019,3,2,4,1,1,3,5,5,Good,,,,,,,,,,,,,,
PR2814,62A3-DEA7,3/2/2019,3,2,4,3,3,3,5,5,Good,,,,,,,,,,,,,,
PR2822,B122-D3D2,4/2/2019,3,2,5,2,1,3,4,4,Good,,,,,,,,,,,,,,
PR2852,D351-C7E4,17/02/2019,3,2,2,3,3,3,3,2,Good,,,,,,,,,,,,,,
PR30,B4E1-4A3E,26/01/2013,3,2,5,2,2,3,3,3,Good,,,,,,,,,,,,,,
PR3066,692B-7152,8/5/2019,3,2,5,2,0,3,5,5,Good,,,,,,,,,,,,,,
PR3100,5988-3855,21/05/2019,3,2,2,2,1,3,4,4,Good,,,,,,,,,,,,,,
PR3128,259B-6C50,30/05/2019,3,2,4,2,1,3,4,4,Good,,,,,,,,,,,,,,
PR3139,3A2C-ABB8,2/6/2019,3,2,5,2,0,3,3,3,Good,,,,,,,,,,,,,,
PR320,F3D0-41D1,6/5/2014,3,2,3,1,0,3,5,4,Good,,,,,,,,,,,,,,
PR322,08E4-D3D5,7/5/2014,3,2,5,1,0,3,3,2,Good,,,,,,,,,,,,,,
PR3235,D8FC-E2F7,18/07/2019,3,2,5,2,1,3,4,3,Good,,,,,,,,,,,,,,
PR3275,07AF-3631,2/8/2019,3,2,4,2,1,3,5,5,Good,,,,,,,,,,,,,,
PR3308,37EE-004B,17/08/2019,3,2,2,2,1,3,4,4,Good,,,,,,,,,,,,,,
PR3322,1D87-3372,24/08/2019,3,2,5,1,1,3,5,5,Good,,,,,,,,,,,,,,
PR3333,11C2-2B5B,2/9/2019,3,2,5,3,2,3,5,5,Good,,,,,,,,,,,,,,
PR3367,46D6-CA7A,23/09/2019,3,2,5,3,1,3,3,2,Good,,,,,,,,,,,,,,
PR3415,1C6F-87AA,20/10/2019,3,2,4,1,2,3,3,2,Good,,,,,,,,,,,,,,
PR3474,FB5B-C127,17/11/2019,3,2,5,3,1,3,5,5,Good,,,,,,,,,,,,,,
PR3475,C25C-C434,18/11/2019,3,2,5,3,2,3,5,5,Good,,,,,,,,,,,,,,
PR3502,296A-A685,30/11/2019,3,2,5,1,2,3,4,4,Good,,,,,,,,,,,,,,
PR3556,03EF-5904,29/12/2019,3,2,5,3,2,3,3,3,Good,,,,,,,,,,,,,,
PR3617,8BAB-B4A6,17/01/2020,3,2,4,3,2,3,4,4,Good,,,,,,,,,,,,,,
PR3647,98EE-8547,29/01/2020,3,2,5,3,0,3,4,4,Good,,,,,,,,,,,,,,
PR3648,041A-31B0,29/01/2020,3,2,2,1,2,3,5,4,Good,,,,,,,,,,,,,,
PR3705,5021-95FC,17/02/2020,3,2,5,1,3,3,5,4,Good,,,,,,,,,,,,,,
PR3746,0322-D46B,2/3/2020,3,2,2,2,2,3,5,5,Good,,,,,,,,,,,,,,
PR3823,184D-06FF,27/03/2020,3,2,5,1,1,3,3,3,Good,,,,,,,,,,,,,,
PR3827,A807-DE5D,29/03/2020,3,2,3,1,1,3,4,3,Good,,,,,,,,,,,,,,
PR3830,8FD9-AA59,30/03/2020,3,2,3,1,2,3,5,5,Good,,,,,,,,,,,,,,
PR3848,C95C-CE06,4/4/2020,3,2,4,2,2,3,4,3,Good,,,,,,,,,,,,,,
PR3889,EE7E-F5AC,17/04/2020,3,2,4,2,2,3,3,2,Good,,,,,,,,,,,,,,
PR3898,7335-4656,21/04/2020,3,2,2,1,0,3,3,3,Good,,,,,,,,,,,,,,
PR3953,4C41-7F73,8/5/2020,3,2,5,2,2,3,3,3,Good,,,,,,,,,,,,,,
PR3969,C8BC-3B77,13/05/2020,3,2,5,3,0,3,4,4,Good,,,,,,,,,,,,,,
PR3997,3B90-B998,22/05/2020,3,2,5,3,1,3,3,3,Good,,,,,,,,,,,,,,
PR4045,8A40-C85A,9/6/2020,3,2,5,3,2,3,5,4,Good,,,,,,,,,,,,,,
PR4064,22FF-9076,16/06/2020,3,2,4,3,2,3,3,3,Good,,,,,,,,,,,,,,
PR4162,DEB9-1BBF,23/07/2020,3,2,5,3,3,3,3,2,Good,,,,,,,,,,,,,,
PR418,3E4A-F28F,12/11/2014,3,2,2,3,1,3,4,4,Good,,,,,,,,,,,,,,
PR4201,5642-6F1E,10/8/2020,3,2,4,3,3,3,5,4,Good,,,,,,,,,,,,,,
PR4232,C7C8-43D9,19/08/2020,3,2,4,2,1,3,5,4,Good,,,,,,,,,,,,,,
PR4254,BD97-F94D,31/08/2020,3,2,4,3,0,3,4,3,Good,,,,,,,,,,,,,,
PR4275,B268-1642,10/9/2020,3,2,2,3,1,3,4,4,Good,,,,,,,,,,,,,,
PR4305,7F61-2397,25/09/2020,3,2,5,2,0,3,5,4,Good,,,,,,,,,,,,,,
PR4320,B102-5713,30/09/2020,3,2,3,3,1,3,3,3,Good,,,,,,,,,,,,,,
PR4361,DAE0-B44F,23/10/2020,3,2,2,1,2,3,4,3,Good,,,,,,,,,,,,,,
PR4378,3012-1A41,29/10/2020,3,2,5,1,0,3,5,4,Good,,,,,,,,,,,,,,
PR4431,CC88-AE14,19/11/2020,3,2,2,2,0,3,4,3,Good,,,,,,,,,,,,,,
PR4453,F265-79B0,30/11/2020,3,2,3,1,2,3,5,5,Good,,,,,,,,,,,,,,
PR449,9E7A-1F70,8/1/2015,3,2,2,3,1,3,5,5,Good,,,,,,,,,,,,,,
PR4522,6CC9-81FC,29/12/2020,3,2,2,3,1,3,5,5,Good,,,,,,,,,,,,,,
PR4595,05B0-755F,19/01/2021,3,2,4,2,0,3,5,5,Good,,,,,,,,,,,,,,
PR4638,8EE9-E86D,3/2/2021,3,2,1,1,2,3,4,3,Good,,,,,,,,,,,,,,
PR4667,626A-9377,12/2/2021,3,2,5,2,2,3,3,2,Good,,,,,,,,,,,,,,
PR4709,7749-B277,27/02/2021,3,2,2,1,1,3,3,3,Good,,,,,,,,,,,,,,
PR4774,5381-86E4,16/03/2021,3,2,2,2,3,3,4,3,Good,,,,,,,,,,,,,,
PR4835,1799-5B3F,4/4/2021,3,2,5,3,0,3,5,5,Good,,,,,,,,,,,,,,
PR4868,7A98-768E,15/04/2021,3,2,3,2,0,3,4,3,Good,,,,,,,,,,,,,,
PR4922,380E-44B4,29/04/2021,3,2,3,3,2,3,4,4,Good,,,,,,,,,,,,,,
PR4998,DF5F-5ED9,22/05/2021,3,2,4,2,2,3,4,4,Good,,,,,,,,,,,,,,
PR5029,8663-3E02,31/05/2021,3,2,2,2,1,3,4,3,Good,,,,,,,,,,,,,,
PR5094,C385-CDBE,27/06/2021,3,2,3,2,1,3,3,3,Good,,,,,,,,,,,,,,
PR5123,AF58-5D1B,7/7/2021,3,2,4,1,0,3,5,4,Good,,,,,,,,,,,,,,
PR5143,8583-9174,12/7/2021,3,2,3,2,3,3,3,2,Good,,,,,,,,,,,,,,
PR5187,C77A-2348,25/07/2021,3,2,2,3,2,3,4,4,Good,,,,,,,,,,,,,,
PR5220,2B08-7D3D,9/8/2021,3,2,2,1,1,3,5,4,Good,,,,,,,,,,,,,,
PR5303,4404-DE5A,11/9/2021,3,2,5,3,1,3,5,5,Good,,,,,,,,,,,,,,
PR5306,503B-AACE,11/9/2021,3,2,3,1,0,3,4,4,Good,,,,,,,,,,,,,,
PR5311,411F-6325,13/09/2021,3,2,5,3,1,3,5,4,Good,,,,,,,,,,,,,,
PR5324,07F5-A45D,21/09/2021,3,2,2,1,1,3,3,3,Good,,,,,,,,,,,,,,
PR5336,C1B4-46B2,25/09/2021,3,2,4,1,1,3,5,4,Good,,,,,,,,,,,,,,
PR5402,9C7D-E1B1,25/10/2021,3,2,4,1,1,3,5,5,Good,,,,,,,,,,,,,,
PR5416,6280-B47F,30/10/2021,3,2,2,2,1,3,3,2,Good,,,,,,,,,,,,,,
PR5487,5B11-3DB3,24/11/2021,3,2,4,3,1,3,3,3,Good,,,,,,,,,,,,,,
PR5524,E5C1-B122,12/12/2021,3,2,5,3,2,3,5,5,Good,,,,,,,,,,,,,,
PR5681,EEFC-DEC7,29/01/2022,3,2,2,3,1,3,4,3,Good,,,,,,,,,,,,,,
PR5685,B50B-5A18,31/01/2022,3,2,2,3,1,3,5,4,Good,,,,,,,,,,,,,,
PR5826,CFE3-312D,10/3/2022,3,2,2,1,3,3,5,4,Good,,,,,,,,,,,,,,
PR5845,DA8E-9496,17/03/2022,3,2,4,3,0,3,3,3,Good,,,,,,,,,,,,,,
PR5919,2BD8-20A6,7/4/2022,3,2,3,1,1,3,3,3,Good,,,,,,,,,,,,,,
PR5921,531D-788E,8/4/2022,3,2,3,1,0,3,3,3,Good,,,,,,,,,,,,,,
PR5930,1A7C-19DB,10/4/2022,3,2,3,2,1,3,5,4,Good,,,,,,,,,,,,,,
PR5950,5D69-D350,16/04/2022,3,2,4,2,2,3,4,3,Good,,,,,,,,,,,,,,
PR5951,4BE1-4A7B,16/04/2022,3,2,2,2,2,3,5,5,Good,,,,,,,,,,,,,,
PR5962,C661-6A1C,19/04/2022,3,2,5,1,1,3,3,3,Good,,,,,,,,,,,,,,
PR6103,6965-C170,28/05/2022,3,2,5,3,2,3,5,4,Good,,,,,,,,,,,,,,
PR6126,AFE1-76D3,5/6/2022,3,2,5,3,0,3,5,5,Good,,,,,,,,,,,,,,
PR6168,BDC5-51CF,20/06/2022,3,2,4,2,0,3,4,3,Good,,,,,,,,,,,,,,
PR6181,9BE8-2C44,23/06/2022,3,2,2,1,2,3,4,3,Good,,,,,,,,,,,,,,
PR6230,90EB-28D4,8/7/2022,3,2,3,3,1,3,3,2,Good,,,,,,,,,,,,,,
PR6265,C0BE-FED0,18/07/2022,3,2,4,1,0,3,5,4,Good,,,,,,,,,,,,,,
PR6334,9811-F345,12/8/2022,3,2,2,3,0,3,4,4,Good,,,,,,,,,,,,,,
PR6353,B76C-D9CE,17/08/2022,3,2,5,1,0,3,3,2,Good,,,,,,,,,,,,,,
PR6391,6E61-A2BA,2/9/2022,3,2,2,1,0,3,4,3,Good,,,,,,,,,,,,,,
PR6407,1D35-190A,10/9/2022,3,2,3,2,0,3,3,2,Good,,,,,,,,,,,,,,
PR6459,87D2-8B67,30/09/2022,3,2,1,3,1,3,3,3,Good,,,,,,,,,,,,,,
PR65,17AD-99F5,2/3/2013,3,2,2,2,0,3,5,5,Good,,,,,,,,,,,,,,
PR6575,4565-62DE,14/11/2022,3,2,3,1,2,3,3,2,Good,,,,,,,,,,,,,,
PR6625,4886-62DF,1/12/2022,3,2,3,3,1,3,3,3,Good,,,,,,,,,,,,,,
PR6650,E6D9-ADEE,12/12/2022,3,2,4,1,0,3,5,4,Good,,,,,,,,,,,,,,
PR6675,F93D-CB5A,21/12/2022,3,2,4,1,2,3,5,4,Good,,,,,,,,,,,,,,
PR67,EACC-D1F6,3/3/2013,3,2,4,2,1,3,5,5,Good,,,,,,,,,,,,,,
PR719,F9B6-C80B,4/7/2015,3,2,3,2,1,3,3,2,Good,,,,,,,,,,,,,,
PR765,3F19-FC5A,17/09/2015,3,2,5,3,0,3,5,5,Good,,,,,,,,,,,,,,
PR811,1749-81A2,24/11/2015,3,2,3,2,2,3,5,4,Good,,,,,,,,,,,,,,
PR834,DF94-FD29,18/12/2015,3,2,2,3,0,3,4,4,Good,,,,,,,,,,,,,,
PR856,F93E-BDEF,4/1/2016,3,2,4,2,1,3,3,3,Good,,,,,,,,,,,,,,
PR880,32AE-C02F,18/01/2016,3,2,3,1,1,3,4,4,Good,,,,,,,,,,,,,,
PR900,5A0B-7F31,29/01/2016,3,2,5,1,2,3,3,2,Good,,,,,,,,,,,,,,
PR960,7823-0217,29/02/2016,3,2,4,2,1,3,5,5,Good,,,,,,,,,,,,,,
PR966,EACC-D1F6,2/3/2016,3,2,4,1,1,3,5,5,Good,,,,,,,,,,,,,,
PR969,CC2F-670E,3/3/2016,3,2,5,1,1,3,4,3,Good,,,,,,,,,,,,,,
PR03,F5E3-48BB,3/1/2013,3,4,5,3,2,3,5,4,Good,,,,,,,,,,,,,,
PR1018,C525-8BB9,27/03/2016,3,4,4,1,2,3,4,3,Good,,,,,,,,,,,,,,
PR1100,8EBD-B3E8,9/5/2016,3,4,3,2,1,3,4,3,Good,,,,,,,,,,,,,,
PR1222,5839-7AE2,7/8/2016,3,4,4,1,1,3,4,4,Good,,,,,,,,,,,,,,
PR1223,5B0E-31FB,9/8/2016,3,4,5,1,1,3,5,5,Good,,,,,,,,,,,,,,
PR1266,9085-1FE8,28/09/2016,3,4,4,2,1,3,5,5,Good,,,,,,,,,,,,,,
PR129,9BD6-2C43,7/5/2013,3,4,2,2,1,3,3,2,Good,,,,,,,,,,,,,,
PR1362,0697-ADC3,22/12/2016,3,4,4,3,2,3,3,2,Good,,,,,,,,,,,,,,
PR1501,596B-33F4,27/02/2017,3,4,4,3,2,3,3,3,Good,,,,,,,,,,,,,,
PR1509,DE22-FB63,1/3/2017,3,4,3,1,2,3,3,2,Good,,,,,,,,,,,,,,
PR1614,C025-B8B6,20/04/2017,3,4,4,1,1,3,5,4,Good,,,,,,,,,,,,,,
PR1824,41DC-E8B5,16/08/2017,3,4,5,3,2,3,4,3,Good,,,,,,,,,,,,,,
PR1879,B347-DA2D,4/10/2017,3,4,5,2,2,3,5,5,Good,,,,,,,,,,,,,,
PR1891,45FF-ACE6,17/10/2017,3,4,3,2,1,3,5,5,Good,,,,,,,,,,,,,,
PR23,8BAB-B4A6,18/01/2013,3,4,4,3,2,3,5,4,Good,,,,,,,,,,,,,,
PR2339,00B0-F199,21/05/2018,3,4,4,2,1,3,3,2,Good,,,,,,,,,,,,,,
PR2415,E46A-3676,29/06/2018,3,4,5,3,2,3,5,4,Good,,,,,,,,,,,,,,
PR2439,6345-2F33,11/7/2018,3,4,4,3,3,3,3,3,Good,,,,,,,,,,,,,,
PR2533,D6A7-EF72,3/9/2018,3,4,3,1,3,3,5,5,Good,,,,,,,,,,,,,,
PR2541,9F02-0D39,9/9/2018,3,4,5,2,1,3,4,3,Good,,,,,,,,,,,,,,
PR256,DEC5-9319,19/03/2014,3,4,5,3,1,3,4,4,Good,,,,,,,,,,,,,,
PR2592,5C48-9106,15/10/2018,3,4,2,1,1,3,5,5,Good,,,,,,,,,,,,,,
PR2604,31FB-D496,22/10/2018,3,4,4,3,1,3,4,3,Good,,,,,,,,,,,,,,
PR2665,5B11-3DB3,25/11/2018,3,4,4,3,3,3,5,5,Good,,,,,,,,,,,,,,
PR2786,8AAD-FAFB,23/01/2019,3,4,3,3,1,3,5,5,Good,,,,,,,,,,,,,,
PR2816,8EE9-E86D,4/2/2019,3,4,3,1,1,3,4,3,Good,,,,,,,,,,,,,,
PR2857,B437-FCF8,20/02/2019,3,4,5,3,1,3,4,3,Good,,,,,,,,,,,,,,
PR292,7A98-768E,17/04/2014,3,4,4,2,2,3,5,4,Good,,,,,,,,,,,,,,
PR2929,528C-3E0D,16/03/2019,3,4,4,3,1,3,5,5,Good,,,,,,,,,,,,,,
PR2943,3CD6-5587,23/03/2019,3,4,4,2,2,3,4,4,Good,,,,,,,,,,,,,,
PR2984,8EA4-9179,9/4/2019,3,4,4,1,1,3,4,3,Good,,,,,,,,,,,,,,
PR3002,7A98-768E,16/04/2019,3,4,4,2,1,3,4,4,Good,,,,,,,,,,,,,,
PR3028,A4A4-F49C,24/04/2019,3,4,2,2,1,3,4,4,Good,,,,,,,,,,,,,,
PR3123,C08F-94F9,29/05/2019,3,4,2,2,3,3,4,3,Good,,,,,,,,,,,,,,
PR3327,15B3-F392,30/08/2019,3,4,3,1,2,3,3,3,Good,,,,,,,,,,,,,,
PR3356,7623-9AF1,15/09/2019,3,4,2,2,2,3,5,4,Good,,,,,,,,,,,,,,
PR3421,DAE0-B44F,24/10/2019,3,4,4,1,2,3,4,3,Good,,,,,,,,,,,,,,
PR3511,DFA9-990E,5/12/2019,3,4,4,2,2,3,4,3,Good,,,,,,,,,,,,,,
PR3576,4C66-6E16,3/1/2020,3,4,2,3,3,3,3,3,Good,,,,,,,,,,,,,,
PR3646,B303-8962,28/01/2020,3,4,4,3,1,3,3,3,Good,,,,,,,,,,,,,,
PR3729,E7A6-33A3,27/02/2020,3,4,5,1,2,3,3,2,Good,,,,,,,,,,,,,,
PR3747,03D3-AA88,2/3/2020,3,4,2,1,1,3,5,4,Good,,,,,,,,,,,,,,
PR390,39A2-9B0A,5/9/2014,3,4,3,3,2,3,5,5,Good,,,,,,,,,,,,,,
PR3902,920B-7B40,22/04/2020,3,4,3,2,2,3,5,4,Good,,,,,,,,,,,,,,
PR3983,5060-A677,18/05/2020,3,4,3,3,1,3,5,5,Good,,,,,,,,,,,,,,
PR3987,72A2-1105,19/05/2020,3,4,2,1,1,3,4,3,Good,,,,,,,,,,,,,,
PR4591,2374-7581,18/01/2021,3,4,2,2,2,3,3,2,Good,,,,,,,,,,,,,,
PR466,6DEB-F440,17/01/2015,3,4,5,1,2,3,5,4,Good,,,,,,,,,,,,,,
PR4697,2E25-987F,22/02/2021,3,4,2,2,1,3,5,5,Good,,,,,,,,,,,,,,
PR4715,DE22-FB63,28/02/2021,3,4,4,1,1,3,4,3,Good,,,,,,,,,,,,,,
PR4760,68FB-06A7,12/3/2021,3,4,5,1,1,3,5,5,Good,,,,,,,,,,,,,,
PR4913,F1BD-033D,27/04/2021,3,4,3,3,1,3,4,3,Good,,,,,,,,,,,,,,
PR4937,FB1D-5A51,3/5/2021,3,4,4,3,1,3,3,3,Good,,,,,,,,,,,,,,
PR4972,64D6-0D5F,15/05/2021,3,4,5,2,1,3,3,2,Good,,,,,,,,,,,,,,
PR5035,9D7B-9B37,4/6/2021,3,4,5,1,1,3,3,2,Good,,,,,,,,,,,,,,
PR5057,648E-FE5F,13/06/2021,3,4,2,2,2,3,3,2,Good,,,,,,,,,,,,,,
PR5092,24DD-6D7C,26/06/2021,3,4,3,2,2,3,4,4,Good,,,,,,,,,,,,,,
PR5210,BFE7-5EA8,5/8/2021,3,4,3,3,3,3,3,3,Good,,,,,,,,,,,,,,
PR5334,7F61-2397,25/09/2021,3,4,1,2,2,3,4,4,Good,,,,,,,,,,,,,,
PR552,D954-6402,8/3/2015,3,4,3,3,3,3,3,2,Good,,,,,,,,,,,,,,
PR5620,EB66-D679,10/1/2022,3,4,3,3,2,3,5,5,Good,,,,,,,,,,,,,,
PR5701,F3CD-9B5B,3/2/2022,3,4,3,1,1,3,5,4,Good,,,,,,,,,,,,,,
PR5715,56FC-5C6E,6/2/2022,3,4,2,2,1,3,5,4,Good,,,,,,,,,,,,,,
PR5779,CC8A-0B1F,28/02/2022,3,4,3,2,1,3,5,5,Good,,,,,,,,,,,,,,
PR5832,4F28-CFAF,13/03/2022,3,4,5,1,2,3,5,5,Good,,,,,,,,,,,,,,
PR5862,4862-E40F,22/03/2022,3,4,2,1,1,3,4,3,Good,,,,,,,,,,,,,,
PR5940,5C03-1009,12/4/2022,3,4,2,2,1,3,5,4,Good,,,,,,,,,,,,,,
PR6043,A184-3B30,13/05/2022,3,4,3,1,1,3,3,2,Good,,,,,,,,,,,,,,
PR6099,3E3B-681D,26/05/2022,3,4,3,3,1,3,5,4,Good,,,,,,,,,,,,,,
PR6111,FC47-1953,30/05/2022,3,4,4,3,2,3,5,5,Good,,,,,,,,,,,,,,
PR627,A4A4-F49C,25/04/2015,3,4,4,2,2,3,4,3,Good,,,,,,,,,,,,,,
PR6313,F126-8059,4/8/2022,3,4,2,1,1,3,4,3,Good,,,,,,,,,,,,,,
PR6346,CA75-94D1,15/08/2022,3,4,4,3,2,3,3,3,Good,,,,,,,,,,,,,,
PR6369,1D87-3372,23/08/2022,3,4,5,1,2,3,3,2,Good,,,,,,,,,,,,,,
PR6444,07F6-D61B,26/09/2022,3,4,5,1,1,3,3,2,Good,,,,,,,,,,,,,,
PR6499,BBB4-89C7,17/10/2022,3,4,4,3,3,3,4,3,Good,,,,,,,,,,,,,,
PR6592,8078-6154,19/11/2022,3,4,2,3,1,3,3,2,Good,,,,,,,,,,,,,,
PR6652,7F5B-92AD,12/12/2022,3,4,1,2,3,3,4,4,Good,,,,,,,,,,,,,,
PR800,BFF3-AADC,10/11/2015,3,4,2,1,1,3,5,4,Good,,,,,,,,,,,,,,
PR965,A366-C17A,1/3/2016,3,4,4,3,2,3,3,3,Good,,,,,,,,,,,,,,
PR1097,291F-B604,8/5/2016,3,4,4,2,0,3,5,5,Good,,,,,,,,,,,,,,
PR1294,9E22-6287,29/10/2016,3,4,2,1,0,3,3,3,Good,,,,,,,,,,,,,,
PR1326,1749-81A2,23/11/2016,3,4,5,3,0,3,4,4,Good,,,,,,,,,,,,,,
PR133,4657-FE18,10/5/2013,3,4,5,1,0,3,4,3,Good,,,,,,,,,,,,,,
PR136,41FE-D257,13/05/2013,3,4,5,2,0,3,3,3,Good,,,,,,,,,,,,,,
PR1400,8941-0BAC,11/1/2017,3,4,4,3,0,3,4,3,Good,,,,,,,,,,,,,,
PR1459,B975-943A,4/2/2017,3,4,5,2,0,3,4,3,Good,,,,,,,,,,,,,,
PR1461,5476-CA0D,5/2/2017,3,4,2,2,0,3,3,2,Good,,,,,,,,,,,,,,
PR1788,95D8-5DC7,21/07/2017,3,4,1,3,0,3,3,3,Good,,,,,,,,,,,,,,
PR1789,B5C6-F8D5,21/07/2017,3,4,4,1,0,3,3,3,Good,,,,,,,,,,,,,,
PR1850,4404-DE5A,12/9/2017,3,4,3,1,0,3,4,4,Good,,,,,,,,,,,,,,
PR1874,277A-A6FA,3/10/2017,3,4,3,1,0,3,3,3,Good,,,,,,,,,,,,,,
PR189,E4F4-11B9,29/01/2014,3,4,4,1,0,3,4,3,Good,,,,,,,,,,,,,,
PR19,B48C-47D0,17/01/2013,3,4,5,2,0,3,3,2,Good,,,,,,,,,,,,,,
PR2072,257B-8130,29/01/2018,3,4,2,3,0,3,5,4,Good,,,,,,,,,,,,,,
PR2101,9DFE-1FD5,9/2/2018,3,4,3,1,0,3,5,4,Good,,,,,,,,,,,,,,
PR2397,1C6C-3B67,19/06/2018,3,4,2,1,0,3,4,3,Good,,,,,,,,,,,,,,
PR2446,F961-5A03,14/07/2018,3,4,5,3,0,3,3,3,Good,,,,,,,,,,,,,,
PR2496,9825-45EF,12/8/2018,3,4,3,2,0,3,3,2,Good,,,,,,,,,,,,,,
PR2497,69EC-7B13,12/8/2018,3,4,5,3,0,3,3,2,Good,,,,,,,,,,,,,,
PR2532,C730-6B13,2/9/2018,3,4,3,2,0,3,4,4,Good,,,,,,,,,,,,,,
PR2598,7269-88EC,18/10/2018,3,4,4,3,0,3,5,4,Good,,,,,,,,,,,,,,
PR2603,21CB-EF3E,22/10/2018,3,4,5,2,0,3,4,3,Good,,,,,,,,,,,,,,
PR2661,C219-6C2E,22/11/2018,3,4,2,2,0,3,5,5,Good,,,,,,,,,,,,,,
